ID,SpecificDialect,Glottocode,Type,Macroarea,Dates,DatesSource,InventoryType,TimeDepth,TimeDepthYBP,BibtexKey,Source,Comments
1061,NA,afro1255,Reconstructed,Africa,NA,NA,all,9th-8th millenia B.C. (diakonoff1988afrasian),10000,ehret1995reconstructing,BDPROTO,NA
1097,NA,algo1256,Reconstructed,North America,NA,NA,all,Around 2500 to 3000 years ago (trigger1978handbook),3000,ehret1995reconstructing,BDPROTO,NA
1053,NA,NA,Reconstructed,Eurasia,NA,NA,all,6th millenium BC (kuzmina2007origin),7000,bomhard1990,BDPROTO,NA
1018,NA,anat1257,Reconstructed,Eurasia,3.5-3K,NA,all,roughly 4000 BC,6000,melchert1994,BDPROTO,NA
1116,NA,araw1281,Reconstructed,South America,NA,NA,all,NA,NA,matteson1972,BDPROTO,NA
1110,NA,atha1247,Reconstructed,North America,NA,NA,all,NA,NA,krauss1964,BDPROTO,NA
1104,NA,atti1240,Attested,Eurasia,NA,NA,all,400 BC,2400,teodorsson1974,BDPROTO,NA
1059,NA,NA,Reconstructed,Australia,NA,NA,all,-40000 or less,40000,dixon1997,BDPROTO,NA
1041,NA,aust1307,Reconstructed,Eurasia,NA,NA,all,at least 5000 years,7000,ross1995,BDPROTO,NA
1094,NA,narr1281,Reconstructed,Africa,NA,NA,all,NA,4000,meeussen1965,BDPROTO,Split off from Niger-Congo languages 3000-4000 years ago (newman1997peopling)
1038,NA,cent2243,Reconstructed,Africa,NA,NA,all,NA,NA,naden1989,BDPROTO,NA
1056,NA,khoe1241,Reconstructed,Africa,NA,NA,all,NA,NA,NA,BDPROTO,This citation is not present in BDPROTO legacy (https://github.com/bdproto/bdproto-legacy/blob/master/Informations/LG1056.txt)
1083,NA,chad1250,Reconstructed,Africa,NA,NA,all,More than 7000 years (cruciani2010human),7000,newman1977,BDPROTO,NA
1072,NA,mang1426,Reconstructed,North America,NA,NA,all,NA,NA,longacre1967,BDPROTO,NA
1111,NA,chib1249,Reconstructed,South America,NA,NA,all,NA,NA,constenla1993,BDPROTO,NA
1099,NA,chim1311,Reconstructed,North America,NA,NA,all,Swadesh calculated a time depth  for the Wakashan-Chimakuan relationship of about 6500 years,6500,Jacobson1979,BDPROTO,NA
1077,NA,chin1484,Reconstructed,North America,NA,NA,all,NA,NA,longacre1967,BDPROTO,NA
1113,NA,chuk1271,Reconstructed,Eurasia,NA,NA,all,NA,4000,fortescue1998,BDPROTO,NA
1081,NA,berb1260,Reconstructed,Africa,NA,NA,consonants only,NA,7000,basset1952,BDPROTO,NA
1045,NA,nort3160,Reconstructed,Eurasia,NA,NA,all,6th century,1500,antonsen1967,BDPROTO,NA
1106,NA,copt1239,Attested,Africa,1800-400,NA,all,3-17th century,1800,atiya1991,BDPROTO,"Continued to be spoken probably until the 17th century CE, one dialect still in use as liturgical language"
1062,NA,cush1243,Reconstructed,Africa,NA,NA,all,<8500 bp (fahmy2011windows),8500,ehret1995reconstructing,BDPROTO,NA
1012,NA,drav1251,Reconstructed,Eurasia,NA,NA,all,as late as 4000 bce (steever1998dravidian),6000,krishnamurti1961,BDPROTO,NA
1065,NA,finn1317,Reconstructed,Eurasia,NA,NA,all,1500-1000 BC,3500,korhonen1988,BDPROTO,"Classification is considered problematic, needs further check"
1031,NA,east2502,Reconstructed,Papunesia,NA,NA,all,NA,NA,clouse1996,BDPROTO,NA
1060,NA,edoi1239,Reconstructed,Africa,NA,NA,all,NA,NA,elugbe1989,BDPROTO,NA
1007,NA,eski1265,Reconstructed,North America,NA,NA,all,-2000,2000,michael1994,BDPROTO,NA
1112,NA,eski1264,Reconstructed,North America,NA,NA,all,NA,4000,fortescue1998,BDPROTO,NA
1090,NA,NA,Reconstructed,Eurasia,NA,NA,all,-3500/-3000; division into proto-finno-premic and proto-ugric: first half of neolithic (p.499) (sinor1988handbuch),5500,sammallahti1988,BDPROTO,NA
1068,NA,NA,Reconstructed,Eurasia,NA,NA,all,NA,5500,lako1968,BDPROTO,NA
1093,NA,gbay1279,Reconstructed,Africa,NA,NA,all,NA,NA,NA,BDPROTO,This citation is not present in BDPROTO legacy (https://github.com/bdproto/bdproto-legacy/blob/master/Informations/LG1093.txt)
1046,NA,germ1287,Reconstructed,Eurasia,NA,NA,vowels only,1st century (ringe2006proto),2500,antonsen1963,BDPROTO,NA
1095,NA,goro1272,Reconstructed,Papunesia,NA,NA,all,NA,NA,foley1986,BDPROTO,NA
1118,NA,guah1252,Reconstructed,South America,NA,NA,all,NA,NA,matteson1972,BDPROTO,NA
1103,NA,guan1278,Reconstructed,Africa,NA,NA,all,NA,NA,snider1989,BDPROTO,NA
1026,NA,huon1245,Reconstructed,Papunesia,NA,NA,consonants only,NA,3500,holzknecht1989,BDPROTO,NA
1015,NA,ijoi1239,Reconstructed,Africa,NA,NA,all,NA,NA,williamson1979,BDPROTO,NA
1051,NA,indo1319,Reconstructed,Eurasia,NA,NA,all,-7000,7000,bomhard1990,BDPROTO,NA
1052,NA,kart1248,Reconstructed,Eurasia,NA,NA,all,-5000 (gamkrelidze1995indo),5000,bomhard1990,BDPROTO,NA
1058,NA,katu1271,Reconstructed,Eurasia,NA,NA,all,NA,NA,diffloth1982,BDPROTO,NA
1109,NA,kere1287,Reconstructed,North America,NA,NA,all,NA,NA,miller1963,BDPROTO,NA
1039,NA,west2818,Reconstructed,Papunesia,NA,NA,all,NA,1000,johnston1982,BDPROTO,NA
1028,NA,lake1255,Reconstructed,Papunesia,NA,NA,all,p.125: some 3000 years ago,3000,clouse1996,BDPROTO,NA
