ID,Name,Description
55F94F929CDB58CDE9BE8333787E3A31,ʕ,LATIN LETTER PHARYNGEAL VOICED FRICATIVE
0844E3AEAF1C8E3837465942B92FE4C5,ʔ,LATIN LETTER GLOTTAL STOP
C699D862DAE3202097065A59720E60BC,ħ,LATIN SMALL LETTER H WITH STROKE
941ED37AAF5E9C4E1B40D85008C6B2D9,ŋ,LATIN SMALL LETTER ENG
3ED3C12693EEA6DCD866F8DBD9C6CF1D,ŋʷ,LATIN SMALL LETTER ENG - MODIFIER LETTER SMALL W
9E7CDEEE9F0DE43C10181AE483F62CBD,ʃ,LATIN SMALL LETTER ESH
72FB536ACFF408163656BBCDAFCAC6F6,a,LATIN SMALL LETTER A
2F272C9C5FA2DA70706B565B2DC46DE8,aː,LATIN SMALL LETTER A - MODIFIER LETTER TRIANGULAR COLON
694212B746622E482E0E58D50036100E,b,LATIN SMALL LETTER B
852A220443D41F0A63671A2F4DEC9788,c,LATIN SMALL LETTER C
8624F957F56BDEBB294A22FB14BB353B,cʼ,LATIN SMALL LETTER C - MODIFIER LETTER APOSTROPHE
E6253384902D489FDB1FE487B7ED4AB2,d,LATIN SMALL LETTER D
320B62404207303F61B0F772296C9545,ɟ,LATIN SMALL LETTER DOTLESS J WITH STROKE
1E8296F0F7BF5A8ABE9B5E8E040E709F,dɮ,LATIN SMALL LETTER D - LATIN SMALL LETTER LEZH
199408E3D0668F10F475143F0E8CC0CB,e,LATIN SMALL LETTER E
6DD56E3A80E90C3B1F5AC7AC45CE8180,eː,LATIN SMALL LETTER E - MODIFIER LETTER TRIANGULAR COLON
86E80A7DA80F7F58CA76F85BACA48F86,f,LATIN SMALL LETTER F
ECC959553F23387998DAF88D69D7736C,ɡ,LATIN SMALL LETTER SCRIPT G
1832D7834F81DD97E33C58D9F70EC5C6,ɣ,LATIN SMALL LETTER GAMMA
2C506EAD6B506B116E11D445B865A044,ɣʷ,LATIN SMALL LETTER GAMMA - MODIFIER LETTER SMALL W
B95529318452F7E00AE69C18EBE1E0F2,ɡʷ,LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL W
E7FBD92350B3CA8B7B5D77E36A607068,h,LATIN SMALL LETTER H
